term_id,name,slug,description,display_type,parent,thumbnail
15,Uncategorized,uncategorized,,default,0,
18,Axles,axels,,default,0,https://49b.pfcd.ca/wp-content/uploads/2024/01/axels.jpg
21,"20'' (451)",20-452,,default,31,https://49b.pfcd.ca/wp-content/uploads/2024/04/XCoreMag.jpg
31,Wheels,wheels,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/LXLB24.18.111.jpg
33,"Push Rims",push-rims-1,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/202_titanium.jpg
34,5'',5,,default,153,https://49b.pfcd.ca/wp-content/uploads/2023/12/2CA001-ORG-Bk.jpg
35,6'',6,,default,153,https://49b.pfcd.ca/wp-content/uploads/2023/12/2CA001-PUR-Bk.jpg
36,"Replacement Tread",replacement-tread,,default,153,https://49b.pfcd.ca/wp-content/uploads/2024/04/FLSRT4-Bk_200x200.jpg
37,Bearings,bearings,,default,0,https://49b.pfcd.ca/wp-content/uploads/2024/01/bearings.jpeg
38,Caps,caps,,default,0,https://49b.pfcd.ca/wp-content/uploads/2024/01/caps.jpeg
39,3'',3,,default,153,https://49b.pfcd.ca/wp-content/uploads/2023/12/2CA001-BLK-Bk.jpg_product
40,4'',4,,default,153,https://49b.pfcd.ca/wp-content/uploads/2023/12/2CA001-GRN-Bk.jpg
41,2'',2,,default,153,https://49b.pfcd.ca/wp-content/uploads/2024/04/4CA749-CC.jpg
42,Footrest,footrest,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/wheecomfort.jpg
43,Crutches,crutches,,default,0,https://49b.pfcd.ca/wp-content/uploads/2024/01/crutches-1.jpeg
44,Straps,straps,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/strap.jpg
45,Spokes,spokes,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/spokes.jpg
46,"Spoke Guards",spoke-guards,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/spokeguards.jpg
47,Clamps,clamps,,default,0,https://49b.pfcd.ca/wp-content/uploads/2024/01/clamps-1.jpeg
48,Tubes,kenda,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/2TB050.jpg
49,"Foam Inserts",foam-inserts,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/2TBAF612572.jpg
50,"Rim Tape",rim-tape,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/2RT523003.jpg
51,"Wheel Locks",wheel-locks,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/wheellock.png
52,"25'' (559)",25-560,,default,31,https://49b.pfcd.ca/wp-content/uploads/2024/04/XCore_Blue.jpg
53,"24'' (540)",24-541,,default,31,https://49b.pfcd.ca/wp-content/uploads/2024/04/Fusion16_bk.jpg
54,"26'' (590)",26-592,,default,31,https://49b.pfcd.ca/wp-content/uploads/2023/12/XLX24.12.111.jpg
55,"Batec Mobility",batec-power,,default,0,https://49b.pfcd.ca/wp-content/uploads/2024/01/batec.jpeg
56,"Hand Helpers",hand-helpers,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/active-hands6.jpg
57,"10x3 (300-4)",300-4,,default,152,https://49b.pfcd.ca/wp-content/uploads/2024/04/k301_200x200.jpg
59,"8x2 (200x50)",200x50,,default,152,https://49b.pfcd.ca/wp-content/uploads/2024/04/K473_200x200.jpg
60,250-8,250-8,,default,152,https://49b.pfcd.ca/wp-content/uploads/2024/04/k469_200x200.jpg
61,"13x4 (400-5)",400-5,,default,152,https://49b.pfcd.ca/wp-content/uploads/2024/04/k312_200x200.jpg
62,9x350-4,9x350-4,,default,152,https://49b.pfcd.ca/wp-content/uploads/2024/04/K372_200x200.jpg
63,FreeWheel,freewheel,,default,0,https://49b.pfcd.ca/wp-content/uploads/2023/12/1FW2011.png
64,507,507,,default,31,https://49b.pfcd.ca/wp-content/uploads/2024/04/loopwheels-507_200x200.png
65,"25'' (559)",25-559,,default,152,https://49b.pfcd.ca/wp-content/uploads/2024/04/k1044_200x200.jpg
