post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Category,attribute_data:Category,attribute:Color,attribute_data:Color,attribute:Hand,attribute_data:Hand,"attribute:Hub Color","attribute_data:Hub Color","attribute:Insert Width","attribute_data:Insert Width",attribute:Length,attribute_data:Length,attribute:Model,attribute_data:Model,"attribute:Product Width","attribute_data:Product Width","attribute:Product width","attribute_data:Product width",attribute:Seal,attribute_data:Seal,"attribute:Select Hand","attribute_data:Select Hand",attribute:Side,attribute_data:Side,attribute:Size,attribute_data:Size,"attribute:Spoke Color","attribute_data:Spoke Color","attribute:Spoke Size","attribute_data:Spoke Size","attribute:Spokes Color","attribute_data:Spokes Color",attribute:Stages,attribute_data:Stages,attribute:Type,attribute_data:Type,attribute:Usage,attribute_data:Usage,"attribute:Wheel Size","attribute_data:Wheel Size",attribute:Width,attribute_data:Width,attribute:bearing-spacer,attribute_data:bearing-spacer,attribute:color,attribute_data:color,attribute:lenght,attribute_data:lenght,attribute:length,attribute_data:length,attribute:pa_clabel-type,attribute_data:pa_clabel-type,attribute:pa_color,attribute_data:pa_color,attribute:pa_product-type,attribute_data:pa_product-type,attribute:pa_product-width,attribute_data:pa_product-width,attribute:pa_spokes-color,attribute_data:pa_spokes-color,attribute:pa_spokes-color-1,attribute_data:pa_spokes-color-1,attribute:pa_wheel-size,attribute_data:pa_wheel-size,attribute:pa_width,attribute_data:pa_width,attribute:side,attribute_data:side,attribute:size,attribute_data:size,attribute:spokes-color,attribute_data:spokes-color,attribute:thickness,attribute_data:thickness,attribute:type,attribute_data:type,attribute:wheel-size,attribute_data:wheel-size,attribute:width,attribute_data:width
"Fit Grips PRO Push Rim w Drawstring Bag",fit-grips-pro-push-rim-w-drawstring-bag,,232,"<br><p>Price per each</p>",,publish,,0,"2023-12-14 11:03:52",1,open,2PR612,,,no,no,,50.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/2PR610.jpg_product ! alt :  ! title : pro_blue.png ! desc :  ! caption : ",,https://49b.pfcd.ca/product/fit-grips-pro-push-rim-w-drawstring-bag/,0,,,,,,,,,,,,simple,,"Push Rims",,,PRO|COMFORT,0|1|1,Blue|Black|Red,0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forarm Crutch",forarm-crutch,,269,"<br><p><span style=""color: #686868; font-family: Helvetica,Arial,FreeSans,sans-serif; font-size: 14px; font-style: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; background-color: #ffffff; float: none;"">Price per each</span></p>",,publish,,0,"2023-12-14 11:04:04",1,open,1CRF011L,,,no,no,,120.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/1CRF011L.jpg ! alt :  ! title : 1CRF011L.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/forarm-crutch/,0,,,,,,,,,,,,simple,,Crutches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS228,hs228,,896,,,publish,,0,"2023-12-18 13:49:13",1,open,SNA10282675,,,no,no,,29.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/HS2286.jpg ! alt :  ! title : HS2286.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/hs228/,0,,,,,,,,,,,,simple,,"Tires > 24'' (540)",,,,,,,,,,,,,,,,,1.0000|1.3750,0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fit Grips Comfort Pushrim",fit-grips-comfort-pushrim,,998,"<br><p>
  Price per each
</p>",,publish,,0,"2023-12-18 15:00:53",1,open,2PR632,,,no,no,,40.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/comfort_blue4.png ! alt :  ! title : comfort_blue4.png ! desc :  ! caption : ",,https://49b.pfcd.ca/product/fit-grips-comfort-pushrim/,0,,,,,,,,,,,,simple,,"Push Rims",,,,,Blue|Red,0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3x1 Aluminium Powder Coated Hub with Bearings",3x1-aluminium-powder-coated-hub-with-bearings,,1001,"<br><p>Price per each</p>",,publish,,0,"2023-12-18 15:01:27",1,open,2CA405-WHI-PC,,,no,no,,55.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/white.png ! alt :  ! title : white.png ! desc :  ! caption : ",,https://49b.pfcd.ca/product/3x1-aluminium-powder-coated-hub-with-bearings/,0,,,,,,,,,,,,simple,,"Castors > 3''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6x1 Aluminium Powder Coated Hub with Bearings",6x1-aluminium-powder-coated-hub-with-bearings,,1008,"<br><p>Price per each</p>",,publish,,0,"2023-12-18 15:01:52",1,open,2CA040-WHI-PC,,,no,no,,100.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/white.png ! alt :  ! title : white.png ! desc :  ! caption : ",,https://49b.pfcd.ca/product/6x1-aluminium-powder-coated-hub-with-bearings/,0,,,,,,,,,,,,simple,,"Castors > 6''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4x1 Aluminium Powder Coated Hub with Bearings",4x1-aluminium-powder-coated-hub-with-bearings,,1014,,,publish,,0,"2023-12-18 15:02:12",1,open,2CA027-WHI-PC,,,no,no,,75.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/white.png ! alt :  ! title : white.png ! desc :  ! caption : ",,https://49b.pfcd.ca/product/4x1-aluminium-powder-coated-hub-with-bearings/,0,,,,,,,,,,,,simple,,"Castors > 4''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curve Anodized Pushrims - 6 rivnuts",curve-anodized-pushrims-6-rivnuts,,1111,"The innovative profile enables you to gain controlled, low-effort grip while stabilising your wrist. Compared to conventional handrims, the hand muscles tire less and so help to reduce cramps and relieve pain due to carpal tunnel syndrome creating a relaxed and lasting riding experience.<br><p>Price per each</p>",,publish,,0,"2023-12-18 15:15:57",1,open,2PR384,,,no,no,,399.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/Curve.jpg ! alt :  ! title : Curve.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/curve-anodized-pushrims-6-rivnuts/,0,,,,,,,,,,,,simple,,"Push Rims",,,,,,,,,,,,,,,,,,,,,,,,,,,22''|24''|25'',0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curve Anodized - 6 tabs",curve-anodized-6-tabs,,1135,"The innovative profile enables you to gain controlled, low-effort grip while stabilising your wrist. Compared to conventional handrims, the hand muscles tire less and so help to reduce cramps and relieve pain due to carpal tunnel syndrome creating a relaxed and lasting riding experience.<br><p>Price per each</p>",,publish,,0,"2023-12-18 15:18:21",1,open,2PR380,,,no,no,,280.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/Curve.jpg ! alt :  ! title : Curve.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/curve-anodized-6-tabs/,0,,,,,,,,,,,,simple,,"Push Rims",,,,,,,,,,,,,,,,,,,,,,,,,,,22''|24''|25'',0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batec Scrambler",batec-scrambler,,1144,"BATEC SCRAMBLER. The most off-road handbike
The special edition of the most powerful and off-road Batec handbike has arrived: the BATEC SCRAMBLER. This special edition, thought for the motor lovers and off-road experiences, is inspired by the engine iconic referents of the 1960s.<br><p>Brackets, Clamps, Battery and Adaptor NOT included.</p>
<p> </p>
<div style=""color: Blue;"">
<h2><strong>Please call to finalize the order</strong></h2>
</div>
<p>+1 (416) 661-4499</p>
<a href=""index.php/contact"">49 Bespoke Inc.</a>",,publish,,0,"2023-12-18 15:18:54",1,open,B25.14.001,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/batecscrambler_product ! alt :  ! title : batecscrambler.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/batec-scrambler/,0,,,,,,,,,,,,simple,,"Batec Mobility",,,,,"Olive Green|Graphite",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quad|Para,0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
