post_title	post_name	sku	parent_sku	children	stock	regular_price	sold_individually	tax_status	product_url	images	product_page_url
HS228	hs228	SNA10282675				29.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/HS2286.jpg ! alt :  ! title : HS2286.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs228/
"3x1 Aluminium Powder Coated Hub with Bearings"	3x1-aluminium-powder-coated-hub-with-bearings	2CA405-WHI-PC				55.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/white.png ! alt :  ! title : white.png ! desc :  ! caption : "	https://49b.pfcd.ca/product/3x1-aluminium-powder-coated-hub-with-bearings/
"6x1 Aluminium Powder Coated Hub with Bearings"	6x1-aluminium-powder-coated-hub-with-bearings	2CA040-WHI-PC				100.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/white.png ! alt :  ! title : white.png ! desc :  ! caption : "	https://49b.pfcd.ca/product/6x1-aluminium-powder-coated-hub-with-bearings/
"4x1 Aluminium Powder Coated Hub with Bearings"	4x1-aluminium-powder-coated-hub-with-bearings	2CA027-WHI-PC				75.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/white.png ! alt :  ! title : white.png ! desc :  ! caption : "	https://49b.pfcd.ca/product/4x1-aluminium-powder-coated-hub-with-bearings/
"25"" SoftWheel Aluminium 2.75"	25-softwheel-aluminium-2-75	4WH520				2375.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/softwheel-round.jpg ! alt :  ! title : softwheel-round.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/25-softwheel-aluminium-2-75/
"24"" SoftWheel Aluminium 2.75"	24-softwheel-aluminium-2-75	4WH510				2375.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/softwheel-round.jpg ! alt :  ! title : softwheel-round.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/24-softwheel-aluminium-2-75/
"20'' Wire"	20-wire	4WH625				142.50	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/01/4WH625.jpg ! alt :  ! title : SpinergySpinwire.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/20-wire/
"20'' X-Core 3"	20-x-core-3	4WH570				85.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/4WH610.jpg ! alt :  ! title : 4WH610.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/20-x-core-3/
"20'' X-Core Mag 5"	20-x-core-mag-5	4WH565				85.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/01/4WH565.jpg ! alt :  ! title : Mag-Xcore.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/20-x-core-mag-5/
"22'' X-Core Mag 5"	22-x-core-mag-5	4WH573				85.00	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/01/4WH573.jpg ! alt :  ! title : 4WH573.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/22-x-core-mag-5/
