product_name,product_sku,virtuemart_product_id,category_name,picture_url,product_discount,product_in_stock,product_price,product_sales,salesprice,taxamount,,
Spacer 12.8mm Bore 5mm Thick-Nylon,2SR050,275,Hardware,/images/stories/virtuemart/product/2SR050.jpg,,,2,,2,0,,
Aluminium Silver Anodised - 6 tab,2PR700,277,Push Rims,/images/stories/virtuemart/product/2PR700.jpg,,,75,,75,0,,
22'' Aluminium Silver Anodised - 6 tab,2PR710,278,,/images/stories/virtuemart/product/2PR700.jpg,,,75,,75,0,,
24'' Aluminium Silver Anodised - 6 tab,2PR720,279,,/images/stories/virtuemart/product/2PR700.jpg,,,75,,75,0,,
25'' Aluminium Silver Anodised - 6 tab,2PR730,280,,/images/stories/virtuemart/product/2PR700.jpg,,-2,75,2,75,0,,
26'' Aluminium Silver Anodised - 6 tab,2PR740,281,,/images/stories/virtuemart/product/2PR700.jpg,,,75,,75,0,,
24'' Hard Anodised Push Rim - 6 Tabs,2PR015,283,Push Rims,/images/stories/virtuemart/product/2PR015.jpg,,,82,,82,0,,
"25"" Hard Anodised Push Rim - 6 Tab",2PR020,284,Push Rims,/images/stories/virtuemart/product/2PR015.jpg,,,82,,82,0,,
26'' Hard Anodised Push Rim - 6 Tab,2PR025,286,Push Rims,/images/stories/virtuemart/product/2PR015.jpg,,-1,82,1,82,0,,
700C Aluminium Hard Anodised Push Rim - 6 Tabs,2PR030,288,Push Rims,/images/stories/virtuemart/product/2PR015.jpg,,,100,,100,0,,
Dual Grip - 6 Tab,2PR290,291,Push Rims,/images/stories/virtuemart/product/noimage.gif,,,100,,100,0,,
25'' Dual Grip - 6 Tab,2PR295,292,,/images/stories/virtuemart/product/noimage.gif,,,100,,100,0,,
26'' Dual Grip - 6 Tab,2PR300,293,,/images/stories/virtuemart/product/noimage.gif,,,100,,100,0,,
Colored Anodised Push Rim - 6 Tabs,2PR015.2,295,Push Rims,/images/stories/virtuemart/product/2PR015-2.jpg,,,110,,110,0,,
24'' Anodised Green Push Rim - 6 Tabs,2PR015.7,296,,/images/stories/virtuemart/product/2PR015-2.jpg,,,110,,110,0,,
"24"" Anodised Green Push Rim - 6 Tabs",2PR015.9,297,,/images/stories/virtuemart/product/2PR015-2.jpg,,,110,,110,0,,
26'' Anodised Blue Push Rim - 6 Tab,2PR025.2,298,,/images/stories/virtuemart/product/2PR015-2.jpg,,,110,,110,0,,
26'' Anodised Red Push Rim - 6 Tab,2PR025.3,299,,/images/stories/virtuemart/product/2PR015-2.jpg,,,110,,110,0,,
26'' Anodised Green Push Rim - 6 Tab,2PR025.7,300,,/images/stories/virtuemart/product/2PR015-2.jpg,,,110,,110,0,,
Spinergy - Plastic Coated - 6 Tab,2PR700V,302,Push Rims,/images/stories/virtuemart/product/2PR700V4.jpg,,,100,,100,0,,
22'' Spinergy - Plastic Coated - 6 Tab,2PR710V,303,,/images/stories/virtuemart/product/2PR700V4.jpg,,,120,,120,0,,
24'' Spinergy - Plastic Coated - 6 Tab,2PR720V,304,,/images/stories/virtuemart/product/2PR700V4.jpg,,,120,,120,0,,
25'' Spinergy - Plastic Coated - 6 Tab,2PR730V,305,,/images/stories/virtuemart/product/2PR700V4.jpg,,,120,,120,0,,
26'' Spinergy - Plastic Coated - 6 Tab,2PR740V,306,,/images/stories/virtuemart/product/2PR700V4.jpg,,,120,,120,0,,
Plastic Coated - 6 Tab,2PR042,308,Push Rims,/images/stories/virtuemart/product/2PR700V4.jpg,,,120,,120,0,,
24'' Plastic Coated - 6 Tab,2PR045,309,,/images/stories/virtuemart/product/2PR700V4.jpg,,,135,,135,0,,
Plastic Coated 5 rivnut - Mag XCore 5,2PR048,310,Push Rims,/images/stories/virtuemart/product/noimage.gif,,,150,,150,0,,
25'' Plastic Coated - 6 Tab,2PR050,311,,/images/stories/virtuemart/product/2PR700V4.jpg,,,120,,120,0,,
25'' Plastic Coated Push Rim 6 rivnut-  XCore 3 /6,2PR049,312,,/images/stories/virtuemart/product/noimage.gif,,,200,,200,0,,
26'' Plastic Coated - 6 Tab,2PR075,313,,/images/stories/virtuemart/product/2PR700V4.jpg,,,120,,120,0,,
(501) Q-Grip - 6 tab,3PR070,315,Push Rims,/images/stories/virtuemart/product/3PR070.jpg,,,185,,185,0,,
24'' (540) Q-Grip - 6 tab,3PR071,316,,/images/stories/virtuemart/product/3PR070.jpg,,,185,,185,0,,
25'' (559) Q-Grip - 6 tab,3PR072,317,,/images/stories/virtuemart/product/3PR070.jpg,,,185,,185,0,,
26'' (590) Q-Grip - 6 tab,3PR073,318,,/images/stories/virtuemart/product/3PR070.jpg,,,185,,185,0,,
