category_name,product_name,product_sku,product_parent_sku,product_parent_id,pricebeforetax,pricewithouttax,product_availability,product_discount,product_in_stock,product_price,product_sales,taxamount,virtuemart_product_id
Hardware,Spacer 12.8mm Bore 5mm Thick-Nylon,2SR050,,,2,2,,,,2,,0,275
Push Rims,Aluminium Silver Anodised - 6 tab,2PR700,,,75,75,,,,75,,0,277
,22'' Aluminium Silver Anodised - 6 tab,2PR710,2PR700,277,75,75,,,,75,,0,278
,24'' Aluminium Silver Anodised - 6 tab,2PR720,2PR700,277,75,75,,,,75,,0,279
,25'' Aluminium Silver Anodised - 6 tab,2PR730,2PR700,277,75,75,,,-2,75,2,0,280
,26'' Aluminium Silver Anodised - 6 tab,2PR740,2PR700,277,75,75,,,,75,,0,281
Push Rims,24'' Hard Anodised Push Rim - 6 Tabs,2PR015,2PR020,284,82,82,,,,82,,0,283
Push Rims,"25"" Hard Anodised Push Rim - 6 Tab",2PR020,,,82,82,,,,82,,0,284
Push Rims,26'' Hard Anodised Push Rim - 6 Tab,2PR025,2PR020,284,82,82,out-of-stock.png,,-1,82,1,0,286
Push Rims,700C Aluminium Hard Anodised Push Rim - 6 Tabs,2PR030,2PR020,284,100,100,,,,100,,0,288
Push Rims,Dual Grip - 6 Tab,2PR290,,,100,100,,,,100,,0,291
,25'' Dual Grip - 6 Tab,2PR295,2PR290,291,100,100,,,,100,,0,292
,26'' Dual Grip - 6 Tab,2PR300,2PR290,291,100,100,,,,100,,0,293
Push Rims,Colored Anodised Push Rim - 6 Tabs,2PR015.2,,,110,110,,,,110,,0,295
,24'' Anodised Green Push Rim - 6 Tabs,2PR015.7,2PR015.2,295,110,110,,,,110,,0,296
,"24"" Anodised Green Push Rim - 6 Tabs",2PR015.9,2PR015.2,295,110,110,,,,110,,0,297
,26'' Anodised Blue Push Rim - 6 Tab,2PR025.2,2PR015.2,295,110,110,,,,110,,0,298
,26'' Anodised Red Push Rim - 6 Tab,2PR025.3,2PR015.2,295,110,110,,,,110,,0,299
,26'' Anodised Green Push Rim - 6 Tab,2PR025.7,2PR015.2,295,110,110,,,,110,,0,300
Push Rims,Spinergy - Plastic Coated - 6 Tab,2PR700V,,,100,100,,,,100,,0,302
,22'' Spinergy - Plastic Coated - 6 Tab,2PR710V,2PR700V,302,120,120,,,,120,,0,303
,24'' Spinergy - Plastic Coated - 6 Tab,2PR720V,2PR700V,302,120,120,,,,120,,0,304
,25'' Spinergy - Plastic Coated - 6 Tab,2PR730V,2PR700V,302,120,120,,,,120,,0,305
,26'' Spinergy - Plastic Coated - 6 Tab,2PR740V,2PR700V,302,120,120,,,,120,,0,306
Push Rims,Plastic Coated - 6 Tab,2PR042,,,120,120,,,,120,,0,308
,24'' Plastic Coated - 6 Tab,2PR045,2PR042,308,135,135,out-of-stock.png,,,135,,0,309
Push Rims,Plastic Coated 5 rivnut - Mag XCore 5,2PR048,,,150,150,,,,150,,0,310
,25'' Plastic Coated - 6 Tab,2PR050,2PR042,308,120,120,,,,120,,0,311
,25'' Plastic Coated Push Rim 6 rivnut-  XCore 3 /6,2PR049,2PR048,310,200,200,,,,200,,0,312
,26'' Plastic Coated - 6 Tab,2PR075,2PR042,308,120,120,,,,120,,0,313
Push Rims,(501) Q-Grip - 6 tab,3PR070,,,185,185,,,,185,,0,315
,24'' (540) Q-Grip - 6 tab,3PR071,3PR070,315,185,185,out-of-stock.png,,,185,,0,316
,25'' (559) Q-Grip - 6 tab,3PR072,3PR070,315,185,185,out-of-stock.png,,,185,,0,317
,26'' (590) Q-Grip - 6 tab,3PR073,3PR070,315,185,185,,,,185,,0,318
Push Rims,Rubber Coated - 6 Tab,2PR080,,,100,100,,,,100,,0,320
,24'' Rubber Coated - 6 Tab,2PR085,2PR080,320,100,100,,,,100,,0,321
